text,category,emotion
 Rajini ah vida akshay mass ah irukane,Negative ,love
 Thala koda compare panna yarukum thakuthi kidaiyathu mind it,Positive ,surprise
 Marana mass marana style marna gethu mass trailer rajinified,Positive ,love
 Paruthiveeran Karthi Back  Lokesh Kangaraj Screenplay,unknown_state ,neutral
 Diwali annante aniyan ullaltha  Step back bigil,Mixed_feelings ,neutral
 Dialogue pundaiye puriyala. Otha theatre la nacham sound seri pannungada.,Negative ,disgust
 Poda mokka moonjI unna pathale siriputhan varuthu super herovaam adutha mugamoodiii,Negative ,disgust
 dei kelthu kuthi ajith ivanya yaru nadika sona🤢🤢🤢,Negative ,anger
 Yaaru ivanaa... INDHA Kosu Asoorana dei ennada Unga Rasana....,Negative ,anger
" Namma kitte kaadu iruntha,eduthukuvanga Namma kitte roopa iruntha, pudukiku vaanga Padippu mattum namma kitte irundhu eduthukave mudiyathu  Superb lines",Positive ,joy
 Ethukkuda ivlo actors hypo....thalaivar padamna avar matumtha  irukanum...,Positive ,love
 Thlaiavaa... Thalaivaa... Thaliava... Thalaivaa.... Thalaivaa...,Positive ,love
 epdi like pottavan Eallarum seathupogada,Mixed_feelings ,joy
 சுயமாக சிந்திக்க தெரிஞ்சவன் தான் சூப்பர் ஹீரோ' - 100% true in the age information abundance and mass distractions.,Positive ,love
 Supper dhanush Anna mass waiting asuran,Positive ,love
 Vera lvl thalaiva u r great,Positive ,love
 Mobile main mera phek dunga iPhone x BARNA aisa problem hoga,Negative ,disgust
 Sala kuch smjh nhi aaya pr mja aaya,not-Tamil ,neutral
 Ellam avan sayal movie mathiriya irukku🤔,Mixed_feelings ,neutral
 Boss you looking so handsome ND young kekaa,Positive ,surprise
 Pattaya kelapitey Siva!!!  Awesome!!!,Mixed_feelings ,neutral
 Dahaaaaaaa chitii come back I am waiting get ready to 2.0,Mixed_feelings ,disgust
" Boni kapoor sir ini entha update illama ethum release panathinga sir,  intha chinna pasanga tholla thanga mudiyala",Mixed_feelings ,disgust
" Looks thrilling, thala get up super as lawyer , dai pandey neeya da",Positive ,joy
 Neenga enna vena kathukonga aana Hollywood padathukku dubbing mattum kathukathinga,Negative ,disgust
 Ena da nadakuthu inga.. Epaaa sathiyamaa edir pakatha trailer.. TOTALLY UNIMAGINABLE TRAILER. THALIVAR,Positive ,joy
 1:43  Thala da    By thalapathy fan,Positive ,love
 Sun picture best or Vijay TV best sp best na dislike pannuga Vijay TV best na like pannuga,Positive ,joy
 Hey Makkalay yaaru Darbar Motion Poster announcementku apram vantheenga,unknown_state ,neutral
 Last dialoge thala fans ungalukkuta Iam Vijay fan trailer super,Positive ,love
 Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....,Mixed_feelings ,neutral
 But ore oru varutham ennana Sunday release pannirukkalam yesterday aavathu announcement pannirukkalam,Positive ,joy
 Semmma style... rajini sir is back...,Positive ,surprise
 My Dear Thala ahhhhhhhhhhhhhh semma GETHU,Positive ,love
 Idduke ₹500 va tarlam... kolla mass,Mixed_feelings ,love
 Movie savadi vera level poo..thalaivar thalaivar thaa..mass,Positive ,love
 Super thalaiva .Semma mass. Intha movie blockbuster thaan. FDFS poravanga like pannunga.,Positive ,love
 92k views 132k likes  Fraud,Mixed_feelings ,anger
 3 minute trailor vida thil irukkaa....bollywood la panranga....tamila mudiyuma???????,Positive ,surprise
 Dai ranjit nee idha parthu film eduka kathuko,Positive ,love
 Trailer fast ah podu Ana Background la main bgm illaye Fyt Ku Varadhinga Da Unmaiya tha slura,Positive ,love
 Superb  Vivek Mervin pinnitinga ponga... Ungalukagave padam pakanum,Positive ,joy
 Viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu.....,Positive ,joy
 1:36 *thaa enna look-u daa saami  That bgm lit,Positive ,joy
 Guyzz 1m likes vara varaikum vitraadheenga...,Positive ,joy
 Padaiyatchi nu sonna mattum ungalukku jaathi veri nagi reddi settiyar mudaliar nu sonna adhu jaathi veri illaya,unknown_state ,disgust
 Velraj sir thalaivana masss a kamchirukaru vera level u,Positive ,love
 U1 kaga paakuradha illa sk kaaga verukuradhane therila but mithran + u1 kaaga kandipa paakanum,Mixed_feelings ,neutral
 Iam vijay fan kerala and iam waiting super star's petta,Positive ,love
 Oh my god .. it's rajini for you,Mixed_feelings ,neutral
 0:52 thala looka apdiyae vechurkaru pa.  Without audio la paata thalaikum ivrukkum vityasam teriyathu,Positive ,surprise
 Dai yaaru da antha 36k? apadi enna da enga thala mela ungaluku Gaandu?!,Positive ,joy
 Love u thalaivaaaaaaa avangala aarani Anastasia's Alabama and Anastasia's,Mixed_feelings ,love
 Iam sk fan aanaa trailer semma,Positive ,love
 Wow padam tharu mara iruka poguthu  This pongal petta diwali,Positive ,joy
 Sema mass marana mass tha i love rajini,Positive ,love
 800k likes varavareku nanu thungamatte nenaikiravage like podunge,Positive ,joy
 Damn..im a proud. Chiyaan vikram fan..,Positive ,love
 Enna panna porom sweet sapda porom....,Positive ,love
 entha kannada naiyai ennum tamilnattil erunthu anupalaiya?,Negative ,sadness
 Vaa thalaiva via diwali mass ur movie bikil  out,Positive ,love
 Veralevel performer Dhanush sir,Positive ,love
 No means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala,Positive ,joy
 Super akshay sir i love u sir,Positive ,love
 Looks like he will SET SCREEN ON FIRE,Positive ,joy
 Ninga vena yenkuda classah passah suthla aana yen massu yennanu teriyathulla,unknown_state ,love
 It's pink with ajith Kumar ka chutiyapa,Positive ,surprise
 Rmba sandhosama irukku. Thala ipdi suspense movie la nadichadhu.and rlz kaga waiting.,Positive ,joy
 Villaina mass aa kattallayea.  So sad.  Villain mass aa iruntha thaa movie mass aa irukkum,Positive ,love
 Trailer vera level athana Da....aamai kunjugala,Positive ,love
" Yenda, padathoda ottumoththa kadhaiyayum idhudhan nu potu kaatra mariya da trailer pannuveenga.",Mixed_feelings ,neutral
 Nambakita kadu iruntha vangikuvanunga kasu iruntha puduingikuvanunga padipa Mattum pudungavey mudiyathu chidambaram,Positive ,disgust
 1:20 to 2:29 marana massssss,Positive ,love
 Thalapathy 64 villan ku Oru like podu,unknown_state ,joy
 No.1 trending....yellarum idha thana ketutu irundhinga,Positive ,surprise
 Dhanush fans hit like here.....,Positive ,love
" E,,adicha copy da,,,ithu ellam avan seyal movie",Negative ,sadness
 Like so much Thala from AP PawanKalyan Anna fans,Positive ,love
" Yellaam super, but nawazudin voice mattum nalla illa.",Mixed_feelings ,joy
 Wow. I love you Thalaivaaaaaa.,Positive ,love
 Thala..... Kola waiting eppo yaa release panna poringa,Positive ,joy
 Vaalum theivam ajith Kumar Manitha kadavul ajith Kumar Sokka thangam ajith Kumar En uyirai kaakum ajith Kumar Ulaga uthaman ajith Kumar...,Positive ,love
" Ethukku ethellam..! Vvs,rajini murugan mari comedy movie pathuttu...! Entha movie pakka mudiuma.....?",Mixed_feelings ,neutral
 Comment box pakka vantha like podunga,Positive ,joy
 Thalaivar varuvaru sure aa adippaaru,Mixed_feelings ,love
 Who else are here after Sarkar movie?,Mixed_feelings ,neutral
 Dialogues ah illama mass scenes la pesirukalaam,Positive ,love
 Pongal namalukku super collection ma !,Positive ,joy
 Ennada pittalatama irruku views 51k but likes 99k va,Mixed_feelings ,joy
 Thalaivaaaa..! ippa Enna panna porom?? Sweet sapda porom...!,Positive ,love
 I am thalapathi fan...but thalapathi ku apram karthi Anna va than pidikum..intha Diwali enaku double treat....,unknown_state ,love
 Yuvan bgm kola mass thalaiva marana waiting for #valimai,Positive ,love
 Thalaivar ku ennum vaisae agala Sema,Positive ,love
 Kaithi blockbuster movie  Bigil Abhi tak hit bhi nhi huvi,Positive ,love
" Ippa enna panna poram sweet sapada porom ,,,super awesome",Positive ,joy
 Thala  U1  Yuvan Shankar Raja  Mass....,Positive ,love
 Shakthiman fans kill the like button,Positive ,love
 1:53 Ant-Man ah pottu Hope pottu polakra adhe smack,Mixed_feelings ,neutral
 Screen Presence la ungala adichukka vera evanum illa Thala,Mixed_feelings ,neutral
 Vera level movie & vasool NKP,Positive ,love
 Vera level acting thalaivar Mass's pakka mass sry petta masssss SSS,Mixed_feelings ,love
 Sahoo 12 million nkp innu 9 million tha 🤣🤣🤣,Positive ,love
 Senseless movie ..  just video game..,Mixed_feelings ,neutral
 Thala fans saarbaaga motion poster vendum adhe,Positive ,love
 Rajinikanth sir is my favorite Hero says ARR,Negative ,anger
 Kadaram Kondan vs Saaho.... I'm waiting....,Negative ,joy
 0.35 & 0.55 sec   wowwwww,Positive ,joy
 Last dialogue suit for all fans,Positive ,love
 Thala fans hit like me....,Positive ,love
 Edho sadhi nadakudhu pa inum trending la varala,Negative ,fear
 Kalaila enthirucha udane thala ah paaka vathavanga oru like ah podunga,Positive ,joy
 Shankar sir next film vijay and katrina kaif and perya herova villain ah pana veinga,Mixed_feelings ,neutral
 Dai bahubali 1 & 2.    Kelambu kelambu.,Mixed_feelings ,neutral
 PINK Bollywood  But Like Ajit kumar,Positive ,joy
 Comedy ya erukku ithukku billa pandi ok,Negative ,sadness
 Vs anna semma.......🤗epavum pola neega vera level.........,Positive ,love
 Kk chiyan vikram in kadaram kondan best wishes,Positive ,disgust
 1:34 Enna paarva da idhu goosebumps guaranteed,Positive ,joy
 Marana marana marana.. Sirapana tharamaana padam ...🤗🤗🤗🤗,Positive ,joy
 Thala look sema mass nu soldravanga mattum oru like podunga,Positive ,love
 Vanthathu vanthuteenga thala fans ellarum like potutu ponga,Positive ,love
 enada pandey news ah vittutu cinema la nadikuran,Positive ,surprise
 Ena da bgm ithu yuvannnnnnnnnn rocksssssss,Positive ,love
 1st like Vijay Fanss Hit Likes,Positive ,love
 Ex police cop become a prisoner.,Mixed_feelings ,neutral
 Trailer late ah parthu miss pannavanga.... Ippo happy ah,Positive ,joy
 Nazawuddin Siddiqui in pettai  tharamana mudivu,Positive ,joy
 Oru pakkam bigil. Bigil anil kunjugalin alaparaikal,Negative ,sadness
 Super  yaru nu keta chinna kulandhai um solum....... Maestro of Style,Positive ,disgust
 Dhanush Indha padathula ethana pera vetunarunu yarachum therinja solunga....,Positive ,joy
 Vijay sethupathi fans hit like here,Positive ,love
 Aiyo enaku ipave thalaya padathula pakanumnu eruku,Positive ,surprise
 THALAAAA  & U1 again ROCK,Positive ,surprise
 Petta telugu la illea ? missing in tollywood,Positive ,joy
" Story match kaakapoinaa, Konni Konni shots Sukumar Rangasthalam laaga ne undhi choodataniki",unknown_state ,neutral
 Telugu  Thala fan's hit likes,Positive ,love
 Ennada 10M views ku 5th day laye ivlo mukkudhu nu solra bot anil p*** pasangala... No bots no Visay,Negative ,disgust
 akshay kumar as shiva kumar,Positive ,love
 Siripu vantha oru like podunga,Mixed_feelings ,joy
 Teaser la iruntha yedho onnu trailer la missing! Aana ithuvum nalla than irukku,Negative ,joy
 🤣🤣🤣Maran waiting la panavendam poi saavunga Ajith fans,Positive ,love
 Dhanush fans sarbaga padam vetri adiya valthukal,Positive ,love
 Sweet sappuda porom  Sweet saputtu apdiye ethavthu karama (Viswasam) sappuduvom,Positive ,love
 Pazhaya Rajinikanth ah paatha feeling pa....,Positive ,surprise
 Maranam mass uh maranam Petta Athukku avar thaa poranthu varanum Thalaivar,Mixed_feelings ,love
 neraya neraya neraya neraya neraya what a  performance voice Vera level.,Positive ,love
 Ithan diwali fight..semme kartik..story value va hero value r nu..,Positive ,joy
 Dhanush fans oru like potutu ponga,Positive ,love
 Pink !! But like for Ajith,Positive ,joy
 Beginning of satyayuga end of kaliyuga,Positive ,surprise
 Dhanush sir ku Ella get up um set aagudhu,Positive ,love
 Inimal Sun Networkla Petta promo poda start panniduvaanga,Positive ,anger
 neraya neraya neraya neraya neraya what a powerful voice.,Positive ,surprise
 thala dye adikkam irukanaalathan naama nimathiya irukkamudiythu.thala takkarudoi.....,Positive ,love
 Krish movie mask mathiri erukku pa....,Positive ,love
 Chiyaan vikram sir vera 11,Positive ,disgust
 Ethe maari ennamo Padam pathaa maatiye eruke 🤔🤔🤔,Positive ,surprise
 thala thanta thalaiya minja evanta,Positive ,surprise
 2.0 late a vanthalu latest  a vanthurukku,Positive ,love
 Thatha ku jodiya paatis Padam nalla irrukum pola,Mixed_feelings ,joy
 1999 :padappa-vali now 2019 petta -viswasam,Mixed_feelings ,neutral
 Bigil satham ketta ella kaithiyum amaithithan,Negative ,disgust
 Confirm 1M likes varumnu soldravange like podunge machanzz,Positive ,joy
 Happy new year  Thalaivar padam mass kata pothu,Positive ,love
 Thala Vera Level Maas  U1 Bgm Ultimate,Positive ,love
 Yenda thala enga thala ya vada dislike panni irukkenga,Mixed_feelings ,anger
 Dai youtube trending la podu da,Negative ,disgust
 sam c.s vera level ya un bgm,Positive ,love
 Thala vera level n yuvan bgm semmeee...,Positive ,love
 Thala endru sollada thalai nimirndhu nillada .. vanthudaruda en Thala ippa vangada kena.................,Positive ,joy
 Are u a virgin girls ??? Kani kazhiyama irukingala ???,Mixed_feelings ,neutral
 Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa,Positive ,love
 All the best Karthi and Lokesh kanakaraaj,Negative ,disgust
 Romba naaluku Aparam thalaivar...  Sema massa pakurom..... Get rajinified... .....,Positive ,love
 Indha aala ennadhan veruthaalum On screenla paakka solla indha aalu style la  vilundarom,Mixed_feelings ,neutral
 Enna Mari veetuku Theriyama ippa trailer parkuravanga Yaravadhu irukeengala,Positive ,joy
 Mavena edhavadhu haters irundha odi poiru kola kandula irukkaen padam paakama vidamataen,Negative ,fear
 Elam girls um trailer ah patha maari movie ya kandipaa parungaa....,Positive ,love
 3ena da 300 spartan s BGm la varuthu,Mixed_feelings ,neutral
 I am Kamal Sir Fanzz but i like  2.0 trailer.... waiting fr 2.0 Movie,Mixed_feelings ,love
 Vetrimaran ithai thavira vera ethuvum theriyatha ora mathiri padam,Mixed_feelings ,neutral
 Viswasam Teaser vartum Nama Side la Irnthu Oru Sambavam Panuvom,Positive ,joy
 Intha padatha pathe aakanum Thalaivaa aaaaaa.........,Positive ,love
 Kris’s movie pola irukkunu yaarukkavadu feel aahircha,Positive ,surprise
 Viswasam trailer 7k like  1.4 m  like thala fans like tha trailer,Negative ,love
 Ada dei nama sambatha da dei,Positive ,anger
 Nvp voda recorda break pannanum solravanga..like pannunga,Mixed_feelings ,joy
 Movie pathutan semma mass a irukku.... music la vera leval,Positive ,love
 Marana mass thala I am waiting🦁🦁🦁🦁🦁🦁🦁,Positive ,love
 Intha Padathula Gethu Mass Kaatra Thalaya nadikala! Intha Padathula Intha Naatoda Indraiya Unmaiya Solra Ajith Kumar ah nadichirkaaru! #StopWomenAbuse,Positive ,love
 Vayase aagala pa.. ena effort chanceless.. 🤙,Positive ,surprise
 Thala yada dialogue delivery sema mass Vera level  goosebumps overloaded,Positive ,love
 Gommala vararuda ye thalaivar ippavea alluthuparu palapearuku parupuuu.....,Positive ,love
 Vaera level thala summa na podathiga mokka seenu eppa NAERKONDA PARVAI is coming soon,Positive ,love
 Vayasanalum unga style azhagum innum marala.... Thalaiva roxkzzzzzz,Positive ,love
 Matha actor la Vera level na Niii top level Thalaivaaa,Positive ,love
 Enna panna porom sweet sapda porom petta paraak,Positive ,love
 Dislike Pota Ealarum .... Lusu p___ 🤐,Negative ,joy
 Vena padama release pannathinga pakka mudiyala,Positive ,surprise
 Thala bloods ellaarum oru like podunga,Positive ,joy
 Real Rajnikant or dupe ?? Amazingly young !!!,Mixed_feelings ,neutral
 DEEPAVALI KU vera level Padam irukku !! Pakka !! KAITHI DEEPAVALI,Positive ,love
 aiyo #thala marana mass #thala love you so much #thala,Positive ,love
 Thla da . U1 bgm,Positive ,love
 Intha padampothu thalaya asaikka kooda mudiyathu,Positive ,joy
 NKP 30 million views varum solravaga thala fans hit like button 2million like,Positive ,love
 subscribe here enjoy ...gari maya ra sath dinu hola nogen,not-Tamil ,neutral
 Inga neraya arivalikalukku teaserkum trailer kum different theriyama vaitherichala koovitu irukkanga,Mixed_feelings ,neutral
 Super super super super star rajini sri good.....,Positive ,joy
 Mind blowing  Ipo paarunga therikka vitudalam,Negative ,fear
 Idhupola vetradhu kuthradhulam pls kaamikadhinga screen la... padatha paathuthaan paadhi samudhayam kedudhu.... all the best for the team....,Mixed_feelings ,neutral
 Semma thala nee vera level nee onnaya paratta vaarthaiye illa fantastic thala,Positive ,love
 king of kollywood one & only Thala Thala Thala Thala Thala Thala Thala,Positive ,joy
 Marana masss thalaiva Hollywood deractor la vaya polaka poranugga,Mixed_feelings ,love
 Thala mass! But court room perusa irundhurkalam.,Positive ,love
 You kena tunggu lebih lama lagi... untuk tahu saya...,not-Tamil ,neutral
 Idhu  padam da ommla enna padam da i saw 2 shows back to back vera level,Negative ,love
 Pakkaaa message pola...Thalaivaaa we are waiting,Positive ,love
 Thalapathy kku Evlo Massss irukka pootho #Thalapathy64  #Lokeshkanagaraj,unknown_state ,love
 Tamil nadimarke oru puthiya velluvilliakkumooo manju chechiudea puthiya entry,Positive ,disgust
 Nammaku tevaiyanada namma taan adichi vaanganum; Padipa mattum nammakitta irundu edutuka mudiyathu,Positive ,disgust
 Ennayya..namma makkal selvan padam trailerkke oru full thalapathy movie paatha alavukk appadiye silirpp kottuth..,Positive ,surprise
 Last dailog புரிஞ்சா inga like podunga,Positive ,joy
 Super star is super star v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v v.v nice trailer I really love it,Negative ,love
 1st unga thalaivara age ku thaguntha mathiri natikka sollunga appuram vijay ajith pathi peasalam,Negative ,love
 Naanum thalavar rasigan than enakku Akshaya Kumar performance than pudichi irukku ....thalavara dummy ah aakitanaga...ama vai illa ya,Negative ,love
 You tube crash ho gaya kitna time ho gaya hai bhut sahi,not-Tamil ,neutral
 Vera Level #SK Bro... Keep Going Huge..,Positive ,love
 Oruthar mela viswasatha katrathuku innorthara yen asinga paduthuringa,Positive ,joy
 last dialague semma.... rasikanuku advice pannitaru thala super thala,Positive ,joy
 Super pa... Thalapadhy rasigar saarba vaalthukal,Positive ,joy
 Thala Ena Thala ketta mass ah irukiyae,Positive ,love
 Thambi naanga 19 hourslaya 11M neenga yaaru da komali,Mixed_feelings ,neutral
 Appo Kabalieee... Na Nerupuda  Eppo robot na chitti 2.O version,Positive ,disgust
 Waiting 1m likes and 15m views,Positive ,joy
 Vayasu analum unga style um alagum innum ungala vitu pogala....old time rajni ah pakaramariye iruku...,Positive ,love
 Kaithi thane daw. Intha Diwali ku,unknown_state ,neutral
 Ada aamaigala 1m like kooda varlaya aamai Ajith,Mixed_feelings ,joy
 Realy trailer marana massa iruku iam waiting petta,Negative ,love
 You're line line line ithu mari Neriya  Neriya Neriya Neriya padatthula irukum pola iam waiting,Positive ,joy
 Simion sir enga irrukinga.  Sekiram vanga.,Positive ,love
 Wow 10  millóns views,Positive ,surprise
 Back to Back Super blockbuster Movies......... First   2.0   then Petta Rajnikanth is just Amaaaaaaazing,Positive ,joy
 எத்தன HATTERS dislike pannunalum asuran movie kku award confirm by:PURE DHANUSH ANNA FAN,Positive ,love
 Dislike pannravan ratham kakkai saavan 🤣,Positive ,joy
 தல i am waiting for nerkoonda paarvai,Positive ,joy
 Vijay -vera vera vera vetakaran taan da venumm Ajith- nerya nerya nerya nerya ....nerya,Positive ,surprise
 Thala pathi thappaa cmnt panura kuchikari movanlaam odirunga,Negative ,disgust
 Dislike panavan oruthanuku poruthuruka maatan poogada ****************,Positive ,joy
 Dei kadisiya style dance ah parunga da... Ayyo sema... Thalaiva cuteness charisma fight sequel banged comeback...,Positive ,love
 Darbat 50K COMMENT VARANUM 800K LIKE VARANUM VIEW 40 MILLION VARANUM,unknown_state ,joy
 Shaktiman madri next comedy punda aga poren sakadai kelavan,Negative ,disgust
 Thalaya screen LA parka Yarellam Marana waiting comment pannunga thala rathangale ‍‍‍‍‍‍‍,Positive ,joy
 Vada Chennai - jaygiromo illayo motha sanda seiyanum Asuran - namaku theva yanatha nambha tha adichi vanganum,Positive ,disgust
 Wow trailer marana waiting Diwali ku,unknown_state ,joy
 Entha trailer best nu Pakalam  Like : Asuran   Cmnt: Kaapan,Positive ,joy
 Comments parka vandha padika vandha nanba nanbigal like pannitu pooga,Positive ,joy
 Thala thaan eppavume ennudaya role maadal,Positive ,surprise
 @0.38 it's SuperStar Rajini not Rajni... Spelling mistake !!,Positive ,joy
 Remake of pink movie ah... Apdiye eduthurukeenga... Oru dialogue kooda maarama... But fight scene extra va...,Positive ,joy
 Neraya neraya neraya atha yarkanave nerachi poitha iruku inum yathuku kaekura iva mutta  punda,Negative ,disgust
 Eduthu vainga Da adutha Oscar ah ASURAN Ku.,Positive ,love
 I miss you ishwarya rai madam,Mixed_feelings ,neutral
 Mass  Dhanush  manju  vetri,Positive ,love
 Thalaivaaaaaaa.......  Ungaluku vayase aaakathu. Nee mattum thaa Thlaiva mass. Massuke Boss.,Positive ,love
 THALA 6O ku aavathu atleast pre announcement pannunga,Positive ,surprise
 Aptilam nadakkathu nadakka kudathu fire on eyes thala,Positive ,love
 Amam eppa puthu trailer poduvingo. .. 1960 mgr kala thu padama. .. Re release panna poran gala. ..,Negative ,fear
 Oruthar mela viswasam kaatradhukaga aduthavangala edhuku asinga paduthuringa...sema thala....love from thalapathy fanzzzzz,Positive ,love
 Entha padathalaum vivazya pirachana solraga pola oh my God,unknown_state ,neutral
 Kaithi ye evlo mass ah iruku na  Thalapathy 64?,Positive ,love
 adra sakka... thalaivaa ... marana mass.. adi thool.... Petta Pongal...... Petta Parrakk.....,Mixed_feelings ,love
 Maranam Mass Uh maranam Tough Tharanum Athukku Avan Thaaan poranthu Varanum,Positive ,love
 1:55 for some #THALA & #THALAPATHY fans,Positive ,love
 Please make thalapathy 64 like kaithi visuals,Positive ,joy
 Nothing to say ....just goosebumps #thalarasigai,Positive ,surprise
 Mass mass nu soli pavam fight ill lathe padathu la kuda fight varawaychitaga....,Positive ,love
 1:38 to 1:50 yenna swag pa thala. Thala pola varuma ? FDFS from Karnataka.,Positive ,joy
 Enada tamil cinema eduka sonna Hollywood cinema eduthu vachirkinga,Positive ,disgust
" Saavaratha irunthalum sanda pottu saaganum, bayanthu kaalla vizhunthu saaga kudathu. #Tharam",Positive ,surprise
 మొబైల్స్ మాత్రమే అలా హఠాత్తుగా మాయం అవడం ప్రేక్షకుల మనసులోకి నొప్పేలా లేదు.ఈ విషయంలో మెస్మరైజ్ మిస్సయ్యింది.,not-Tamil ,neutral
 Sethu anna Voice  Thalaivar Entry   Kolla Gaandu la irukan Epo varum oh nu,Positive ,love
 Marana mass thalaiva   Ungalukku innu vayasu agale,Positive ,love
 Intha padam kantippa win pannum but rajinikaga illa Shankar kaga  avaroda talent kaga ...,Positive ,love
 Oru oru scenum goosebumps ahh iruku petta parak🤘🤘like podunga trailer pathu goosebumps anuvanga,Positive ,joy
 Vijaya vallu movies teesthunnaraa inkaa wow,unknown_state ,neutral
 #NerKondaPaarvai superb Thala pesura yella dialogues kum avar kan simtave ella vera level acting,Positive ,love
 petta movie atta flop old man sotta boy,Negative ,fear
 Ena Da bomma Padam eduthu vachirukeenga,Mixed_feelings ,disgust
 Semma vera level . Like hits,Positive ,love
 pink movie in hindi .final dialouge superrrr.,Positive ,joy
 chinna pulla thanamaala irukku graphics! XD XD,Positive ,disgust
 Rajini sir telugu fans hit a like here ? Rajinified,Positive ,love
" O my God superstar Rajinikanth, navajuddin siddiki, vijay setupati , what else needed",Positive ,joy
 Marvel paruppu thanni+DC uppu+tamil masala + kick kadugu + krissh vengayam thakkali = hero sambar,Positive ,surprise
 Bayama irukku I except more but I feel sad :(,Positive ,love
 Sethupathi kaga wait panravangalam Kai thoongunga,unknown_state ,neutral
 TAMIL MOVIE 2.O  KING IN INDIA   WONDER  SUPER STAR AN  SANKAR'S MASS MOVIE,Positive ,love
 1st day 1st show poravanga like potuttu ponga,Positive ,joy
 Sprb shradha srinath done a good job,Positive ,joy
 Ennoda phone ah yaaralum control panna mudiyadhu... Akshay Kumar ah tension aayiduvan idhu hang aguradha paathu...,Mixed_feelings ,neutral
 Rajini kanth. Fans hit like here,Positive ,love
 Kola gaadula iruka... Thalaivaaaaaaaa waiting layea veri aaguthey,Negative ,love
 Get... Ready..sk. Force.. Part 2. Part 3. Varavaipomaaaaaa...,Negative ,sadness
 Omg .. use head phones Enna bgm da saami ..,Positive ,love
 Petta  uthikum visvasam hit agum,Mixed_feelings ,neutral
 ENPT release agalanu kavala illa aurathanamana Asuran varuthu adhu pothum...,Positive ,joy
 Those VFX Nalla illa daaaw guys.. Idhu trailer dhaan maa Main picture is coming  #2.0 #Marana_Mass,Mixed_feelings ,love
 vera level thala  u r rock,Positive ,love
 Lokesh kanagaraj movie naalae.... English Rap....Song vandurum,Negative ,anger
 What a trailer ya vera level la iruku...yow karthi subburaj pinnida ya awesome awesome,Positive ,love
 Thalada all India  Thala kottai,Positive ,love
 Indha Kalatholo Siva Karthikeyan Nadike Mudiyadhu,Mixed_feelings ,neutral
 Evano indha video ku dislike button amuka vandhurundha odiru 🤣 kolaa kaandu la irukan kollama vida matan,Negative ,joy
 Mujhe kuch samajh sirf VFX tu achh hai hai Lekin utna dam nahi jitna zero ka trailer me hai,Mixed_feelings ,neutral
 Title card bgm vara level nu soluravuga like pl,Positive ,love
 Rijini sir nadichirukaru Rompa nalaiku piragu.. sema treatuuuuu,Positive ,disgust
 Thala nkp kaga wait panravan like panunga,Mixed_feelings ,joy
 Climax la judge kathiyeh heart attack shethuduvaaraah,Positive ,joy
